"QID","Const","Ceremony","SubmissionCountry","SubmissionTitle","Languages","Directors","Result","Result2","Your.Rating","Date.Rated","Title","Original.Title","Title.Type","IMDb.Rating","Runtime","Year","Num.Votes","Seen"
"Q386522","tt0051983","32-1960","Mexico","Nazarín","Spanish","Luis Buñuel","Not nominated","E",NA,"","Nazarin","Nazarín","Movie",7.7,94,1959,6500,"No"
"Q7729188","tt0375865","32-1960","Pakistan","The Day Shall Dawn","Urdu, Bengali","A. J. Kardar","Not nominated","E",NA,"","Jago Hua Savera","Jago Hua Savera","Movie",7.1,94,1959,145,"No"
"Q7744625","tt0194984","32-1960","Singapore","The Kingdom and the Beauty","Mandarin","Li Han-hsiang","Not nominated","E",NA,"","The Kingdom and the Beauty","Jiang shan mei ren","Movie",6.7,100,1959,164,"No"
"Q1660381","tt0231477","32-1960","United Arab Republic","The Nightingale's Prayer","Egyptian Arabic","Henry Barakat","Not nominated","E",NA,"","Doa al karawan","Doa al karawan","Movie",8.1,109,1959,1984,"No"
"Q3507366","tt0170774","32-1960","Yugoslavia","Train Without a Timetable","Serbo-Croatian","Veljko Bulajić","Not nominated","E",NA,"","Vlak bez voznog reda","Vlak bez voznog reda","Movie",7.3,121,1959,173,"No"
"Q753141","tt0053976","33-1961","Sweden","The Virgin Spring","Swedish","Ingmar Bergman","Won Academy Award","A",9,"2023-12-19","The Virgin Spring","Jungfrukällan","Movie",8,89,1960,31825,"Yes"
"Q1217355","tt0054452","33-1961","France","La Vérité","French","Henri-Georges Clouzot","Nominated","B",NA,"","The Truth","La vérité","Movie",7.6,127,1960,4579,"No"
"Q1234483","tt0052961","33-1961","Italy","Kapò","Italian","Gillo Pontecorvo","Nominated","B",NA,"","Kapo","Kapò","Movie",7.6,116,1960,2613,"No"
"Q13422016","tt0054042","33-1961","Mexico","Macario","Spanish","Roberto Gavaldón","Nominated","B",NA,"","Macario","Macario","Movie",8.3,91,1960,4396,"No"
"Q1632388","tt0053764","33-1961","Yugoslavia","The Ninth Circle","Serbo-Croatian","France Štiglic","Nominated","B",NA,"","The Ninth Circle","Deveti krug","Movie",7.6,107,1960,576,"No"
"Q4658373","tt0055195","33-1961","Brazil","Death Commands Brigandage","Brazilian Portuguese","Carlos Coimbra & Walter Guimarães Motta","Not nominated","E",NA,"","A Morte Comanda o Cangaço","A Morte Comanda o Cangaço","Movie",6.8,100,1960,70,"No"
"Q3986786","tt0059029","33-1961","Hong Kong","The Enchanting Shadow","Mandarin","Li Han-hsiang","Not nominated","E",NA,"","The Enchanting Shadow","Ching nu yu hun","Movie",6.8,83,1960,257,"No"
"Q1367294","tt0054098","33-1961","India","The Great Moghul","Hindi, Urdu","K. Asif","Not nominated","E",NA,"","Mughal-E-Azam","Mughal-E-Azam","Movie",8.1,197,1960,8882,"No"
"Q2739665","tt0053579","33-1961","Japan","Late Autumn","Japanese","Yasujirō Ozu","Not nominated","E",NA,"","Late Autumn","Akibiyori","Movie",7.9,128,1960,6225,"No"
"Q4812311","tt0053563","33-1961","Spain","At Five O'Clock in the Afternoon","A las cinco de la tarde","Juan Antonio Bardem","Not nominated","E",NA,"","At Five in the Afternoon","A las cinco de la tarde","Movie",7,103,1960,118,"No"
"Q7694473","tt0231126","33-1961","United Arab Republic","Teenagers","Arabic","Ahmed Diaeddin","Not nominated","E",NA,"","Teenagers","Almurahikat","Movie",6.3,125,1960,114,"No"
"Q1398537","tt0163624","33-1961","West Germany","Faust","German","Peter Gorski","Not nominated","E",NA,"","Faust","Faust","Movie",7.4,128,1960,689,"No"
"Q587498","tt0055499","34-1962","Sweden","Through a Glass Darkly","Swedish","Ingmar Bergman","Won Academy Award","A",10,"2023-05-22","Through a Glass Darkly","Såsom i en spegel","Movie",7.9,90,1961,27540,"Yes"
"Q1403047","tt0054965","34-1962","Denmark","Harry and the Butler","Danish","Bent Christensen","Nominated","B",NA,"","Harry and the Butler","Harry og kammertjeneren","Movie",7.5,105,1961,507,"No"
"Q1632477","tt0054845","34-1962","Japan","Immortal Love","Japanese","Keisuke Kinoshita","Nominated","B",NA,"","Immortal Love","Eien no hito","Movie",7.3,103,1961,630,"No"
"Q1632443","tt0055646","34-1962","Mexico","The Important Man","Spanish","Ismael Rodríguez","Nominated","B",NA,"","The Important Man","Ánimas Trujano (El hombre importante)","Movie",7.4,100,1961,749,"No"
"Q929101","tt0055310","34-1962","Spain","Plácido","Spanish","Luis García Berlanga","Nominated","B",NA,"","Placido","Plácido","Movie",7.8,85,1961,3792,"No"
"Q7637436","tt0055299","34-1962","Argentina","Summer Skin","Spanish","Leopoldo Torre Nilsson","Not nominated","E",NA,"","Summerskin","Piel de verano","Movie",6.9,96,1961,88,"No"
"Q5417847","tt0133881","34-1962","Austria","Jedermann","German","Gottfried Reinhardt","Not nominated","E",NA,"","Everyman","Jedermann","Movie",5.7,105,1961,28,"No"
"Q6151145","tt0370051","34-1962","Egypt","Love and Faith","Arabic","Enrico Bomba & Andrew Marton","Not nominated","E",NA,"","Wa Islamah","Wa Islamah","Movie",6.5,110,1961,386,"No"
"Q225355","tt0054632","34-1962","France","Last Year at Marienbad","French","Alain Resnais","Not nominated","E",9,"2023-12-25","Last Year at Marienbad","L'année dernière à Marienbad","Movie",7.6,94,1962,25035,"Yes"
"Q7622761","tt0176192","34-1962","India","Stree","Hindi","Rajaram Vankudre Shantaram","Not nominated","E",NA,"","Stree","Stree","Movie",7.7,139,1961,28,"No"
"Q1215047","tt0054130","34-1962","Italy","The Night","Italian","Michelangelo Antonioni","Not nominated","E",NA,"","La Notte","La notte","Movie",7.9,122,1961,24233,"No"
"Q7751909","tt0356901","34-1962","Philippines","The Moises Padilla Story","Tagalog, Filipino","Gerardo de León","Not nominated","E",NA,"","The Moises Padilla Story","The Moises Padilla Story","Movie",7.1,90,1961,23,"No"
"Q7763593","tt0055415","34-1962","Switzerland","The Shadows Grow Longer","German","Ladislao Vajda","Not nominated","E",NA,"","Die Schatten werden länger","Die Schatten werden länger","Movie",6.8,91,1961,35,"No"
"Q881379","tt0055183","34-1962","West Germany","The Miracle of Father Malachia","German","Bernhard Wicki","Not nominated","E",NA,"","The Miracle of Father Malachia","Das Wunder des Malachias","Movie",7.3,122,1961,86,"No"
"Q776623","tt0055910","35-1963","France","Sundays and Cybele","French","Serge Bourguignon","Won Academy Award","A",10,"2023-08-29","Sundays and Cybèle","Les dimanches de Ville d'Avray","Movie",7.8,111,1962,4828,"Yes"
"Q1482269","tt0056322","35-1963","Brazil","Keeper of Promises","Brazilian Portuguese","Anselmo Duarte","Nominated","B",10,"2024-05-15","The Given Word","O Pagador de Promessas","Movie",8.3,98,1962,4004,"Yes"
"Q1326400","tt0055950","35-1963","Greece","Electra","Greek","Michael Cacoyannis","Nominated","B",NA,"","Electra","Ilektra","Movie",7.6,110,1962,1827,"No"
"Q285421","tt0056389","35-1963","Italy","The Four Days of Naples","Italian","Nanni Loy","Nominated","B",NA,"","The Four Days of Naples","Le quattro giornate di Napoli","Movie",7.6,120,1962,1028,"No"
"Q1452962","tt0055527","35-1963","Mexico","Tlayucan","Spanish","Luis Alcoriza","Nominated","B",NA,"","Tlayucan","Tlayucan","Movie",7.3,105,1962,229,"No"
"Q980668","tt0188011","35-1963","Argentina","The Sad Young Men","Spanish","Rodolfo Kuhn","Not nominated","E",NA,"","Los jóvenes viejos","Los jóvenes viejos","Movie",7.1,106,1962,110,"No"
"Q5087239","tt0225598","35-1963","Egypt","Chased by the Dogs","Arabic","Kamal El Sheikh","Not nominated","E",NA,"","Chased by the Dogs","El less wal kilab","Movie",7.4,125,1962,432,"No"
"Q841019","tt0056436","35-1963","India","Sahib Bibi Aur Ghulam","Hindi","Abrar Alvi","Not nominated","E",NA,"","Sahib Bibi Aur Ghulam","Sahib Bibi Aur Ghulam","Movie",8.1,152,1962,1865,"No"
"Q3156571","tt0056680","35-1963","Japan","Being Two Isn't Easy","Japanese","Kon Ichikawa","Not nominated","E",NA,"","Being Two Isn't Easy","Watashi wa nisai","Movie",6.8,88,1962,494,"No"
"Q5142399","tt0056133","35-1963","Norway","Cold Tracks","Norwegian","Arne Skouen","Not nominated","E",NA,"","Kalde spor","Kalde spor","Movie",6.4,96,1962,130,"No"
"Q7740722","tt0311750","35-1963","South Korea","My Mother and the Roomer","Korean","Shin Sang-ok","Not nominated","E",NA,"","My Mother and Her Guest","Sarangbang sonnimgwa eomeoni","Movie",6.9,103,1961,215,"No"
"Q5313361","tt0055939","35-1963","Spain","Dulcinea","Spanish, English","Vicente Escrivá","Not nominated","E",NA,"","Girl from La Mancha","Dulcinea","Movie",6.6,94,1962,121,"No"
"Q5100994","tt0056733","35-1963","Sweden","The Mistress","Swedish","Vilgot Sjöman","Not nominated","E",NA,"","The Swedish Mistress","Älskarinnan","Movie",5.8,77,1962,217,"No"
"Q12018","tt0056801","36-1964","Italy","8½","Italian","Federico Fellini","Won Academy Award","A",9,"2023-09-02","8½","8½","Movie",8,138,1963,125777,"Yes"
"Q1632651","tt0057229","36-1964","Greece","The Red Lanterns","Greek","Vasilis Georgiadis","Nominated","B",NA,"","The Red Lanterns","Ta kokkina fanaria","Movie",8.1,132,1963,2036,"No"
"Q1458080","tt0056154","36-1964","Japan","Twin Sisters of Kyoto","Japanese","Noboru Nakamura","Nominated","B",NA,"","Twin Sisters of Kyoto","Koto","Movie",7.1,107,1963,222,"No"
"Q663469","tt0056291","36-1964","Poland","Knife in the Water","Polish","Roman Polanski","Nominated","B",7,"2023-09-23","Knife in the Water","Nóz w wodzie","Movie",7.4,94,1963,23688,"Yes"
"Q1632620","tt0056555","36-1964","Spain","Los Tarantos","Spanish","Francisco Rovira Beleta","Nominated","B",NA,"","Los Tarantos","Los Tarantos","Movie",7,83,1963,400,"No"
"Q2053405","tt0057058","36-1964","France","Le Feu Follet","French","Louis Malle","Not nominated","E",NA,"","The Fire Within","Le feu follet","Movie",7.8,108,1963,10564,"No"
"Q715506","tt0057248","36-1964","Hong Kong","The Love Eterne","Mandarin","Li Han-hsiang","Not nominated","E",NA,"","The Love Eterne","Liang Shan Bo yu Zhu Ying Tai","Movie",7.1,126,1963,521,"No"
"Q177438","tt0057277","36-1964","India","Metropolis","Bengali","Satyajit Ray","Not nominated","E",NA,"","The Big City","Mahanagar","Movie",8.3,122,1963,5022,"No"
"Q7756024","tt0057147","36-1964","Mexico","The Paper Man","Spanish","Ismael Rodríguez","Not nominated","E",NA,"","The Paper Man","El hombre de papel","Movie",7.9,110,1963,321,"No"
"Q2676145","tt0056823","36-1964","Netherlands","Like Two Drops of Water","Dutch","Fons Rademakers","Not nominated","E",NA,"","The Dark Room of Damocles","Als twee druppels water","Movie",7,119,1963,772,"No"
"Q15983139","tt0317570","36-1964","Pakistan","The Veil","Urdu","Khurshid Anwar","Not nominated","E",NA,"","Ghoonghat","Ghoonghat","Movie",7.7,125,1962,20,"No"
"Q147878","tt0056111","36-1964","Soviet Union","My Name Is Ivan","Russian","Andrei Tarkovsky","Not nominated","E",NA,"","Ivan's Childhood","Ivanovo detstvo","Movie",8,95,1962,40189,"No"
"Q464651","tt0057611","36-1964","Sweden","The Silence","Swedish","Ingmar Bergman","Not nominated","E",NA,"","The Silence","Tystnaden","Movie",7.7,96,1963,21435,"No"
"Q6435211","tt0055059","36-1964","Yugoslavia","Kozara","Serbo-Croatian","Veljko Bulajić","Not nominated","E",NA,"","Kozara","Kozara","Movie",7.2,124,1962,804,"No"
"Q523624","tt0057171","37-1965","Italy","Yesterday, Today and Tomorrow","Italian","Vittorio De Sica","Won Academy Award","A",7,"2023-09-23","Yesterday, Today and Tomorrow","Ieri, oggi, domani","Movie",7.2,119,1964,10221,"Yes"
"Q163868","tt0058450","37-1965","France","The Umbrellas of Cherbourg","French","Jacques Demy","Nominated","B",9,"2022-05-22","The Umbrellas of Cherbourg","Les parapluies de Cherbourg","Movie",7.8,91,1964,31651,"Yes"
"Q1632708","tt0058541","37-1965","Israel","Sallah Shabati","Hebrew","Ephraim Kishon","Nominated","B",NA,"","Sallah Shabati","Sallah Shabati","Movie",7.2,110,1964,1177,"No"
"Q1207936","tt0058625","37-1965","Japan","Woman in the Dunes","Japanese","Hiroshi Teshigahara","Nominated","B",10,"2023-09-11","Woman in the Dunes","Suna no onna","Movie",8.5,147,1964,22949,"Yes"
"Q1170128","tt0057237","37-1965","Sweden","Raven's End","Swedish","Bo Widerberg","Nominated","B",8,"2024-05-16","Raven's End","Kvarteret Korpen","Movie",7.3,101,1970,1749,"Yes"
"Q1884859","tt0058006","37-1965","Brazil","The Black God and the White Devil","Brazilian Portuguese","Glauber Rocha","Not nominated","E",NA,"","Black God, White Devil","Deus e o Diabo na Terra do Sol","Movie",7.2,120,1964,5427,"No"
"Q1791872","tt0058275","37-1965","Czechoslovakia","Lemonade Joe","Czech","Oldřich Lipský","Not nominated","E",NA,"","Lemonade Joe","Limonádový Joe aneb Konská opera","Movie",7.4,84,1964,3071,"No"
"Q7447350","tt0058570","37-1965","Denmark","Sextet","Danish","Annelise Hovmand","Not nominated","E",NA,"","Sextet","Sekstet","Movie",4.3,94,1963,18,"No"
"Q6917504","tt0373921","37-1965","Egypt","Mother of the Bride","Arabic","Atef Salem","Not nominated","E",NA,"","Umm el-Arusah","Umm el-Arusah","Movie",7.5,102,1963,536,"No"
"Q3536508","tt0135616","37-1965","Greece","Treason","Greek","Kostas Manoussakis","Not nominated","E",NA,"","Prodosia","Prodosia","Movie",6.9,96,1964,107,"No"
"Q4899108","tt0456741","37-1965","Hong Kong","Between Tears and Laughter","Mandarin","Ho Meng Hua, Yueh Feng, Doe Ching, Luo Zhen, Yen Chun, Hsieh Chun","Not nominated","E",NA,"","Xin ti xiao yin yuan","Xin ti xiao yin yuan","Movie",7,135,1964,20,"No"
"Q2579300","tt0056819","37-1965","Netherlands","The Human Dutch","Dutch","Bert Haanstra","Not nominated","E",NA,"","Alleman","Alleman","Movie",7.7,90,1963,503,"No"
"Q473579","tt0054159","37-1965","Poland","Passenger","Polish","Andrzej Munk & Witold Lesiewicz","Not nominated","E",NA,"","Passenger","Pasazerka","Movie",7.4,62,1963,2157,"No"
"Q5245782","tt0388760","37-1965","South Korea","The Deaf Samyong","Korean","Shin Sang-ok","Not nominated","E",NA,"","The Dumb Samyong","Beongeoli Sam-ryong","Movie",6.8,85,1964,43,"No"
"Q7736576","tt0058411","37-1965","Spain","The Girl in Mourning","Spanish","Manuel Summers","Not nominated","E",NA,"","La niña de luto","La niña de luto","Movie",6.2,85,1964,177,"No"
"Q17051586","tt0060873","37-1965","Taiwan","Lovers' Rock","Mandarin","Lei Pan","Not nominated","E",NA,"","Lovers' Rock","Qing ren shi","Movie",6.8,95,1964,32,"No"
"Q1542380","tt0062322","37-1965","Turkey","Dry Summer","Turkish","Metin Erksan & David E. Durston","Not nominated","E",7,"2023-12-11","Dry Summer","Susuz Yaz","Movie",7.8,90,1963,5768,"Yes"
"Q7536298","tt0326165","37-1965","Yugoslavia","Skoplje '63","Serbo-Croatian","Veljko Bulajić","Not nominated","E",NA,"","Skoplje '63","Skoplje '63","Movie",7.8,77,1964,32,"No"
"Q595196","tt0059527","38-1966","Czechoslovakia","The Shop on Main Street","Slovak, Yiddish","Ján Kadár & Elmar Klos","Won Academy Award","A",10,"2023-05-11","The Shop on Main Street","Obchod na korze","Movie",8.2,128,1966,9788,"Yes"
"Q1632819","tt0057892","38-1966","Greece","Blood on the Land","Greek","Vasilis Georgiadis","Nominated","B",NA,"","Blood on the Land","To homa vaftike kokkino","Movie",7.5,130,1965,1016,"No"
"Q241925","tt0058335","38-1966","Italy","Marriage Italian-Style","Italian, Neapolitan","Vittorio De Sica","Nominated","B",NA,"","Marriage Italian Style","Matrimonio all'italiana","Movie",7.4,102,1964,11120,"No"
"Q133488","tt0058279","38-1966","Japan","Kwaidan","Japanese","Masaki Kobayashi","Nominated","B",8,"2021-10-02","Kwaidan","Kaidan","Movie",7.9,183,1965,20196,"Yes"
"Q653375","tt0058281","38-1966","Sweden","Dear John","Swedish","Lars-Magnus Lindgren","Nominated","B",NA,"","Dear John","Käre John","Movie",6.4,115,1964,401,"No"
"Q520206","tt0058441","38-1966","Argentina","Pajarito Gómez","Spanish","Rodolfo Kuhn","Not nominated","E",NA,"","Pajarito Gómez","Pajarito Gómez","Movie",7.6,83,1965,213,"No"
"Q7665651","tt0195324","38-1966","Brazil","Sao Paulo Incorporated","Brazilian Portuguese","Luis Sérgio Person","Not nominated","E",NA,"","São Paulo, Sociedade Anônima","São Paulo, Sociedade Anônima","Movie",8.1,107,1965,1024,"No"
"Q1253821","tt0058138","38-1966","Denmark","Gertrud","Danish","Carl Theodor Dreyer","Not nominated","E",NA,"","Gertrud","Gertrud","Movie",7.3,116,1964,6852,"No"
"Q3651784","tt0376782","38-1966","Egypt","The Impossible","Arabic","Hussein Kamal","Not nominated","E",NA,"","El mustahil","El mustahil","Movie",7.1,110,1965,69,"No"
"Q938851","tt0059592","38-1966","France","Pierrot le Fou","French, English","Jean-Luc Godard","Not nominated","E",NA,"","Pierrot the Fool","Pierrot le fou","Movie",7.4,110,1965,37167,"No"
"Q1366386","tt0059153","38-1966","Germany","It","German","Ulrich Schamoni","Not nominated","E",NA,"","Es","Es","Movie",7.2,86,1966,123,"No"
"Q3560175","tt0058218","38-1966","Hungary","Twenty Hours","Hungarian","Zoltán Fábri","Not nominated","E",NA,"","Twenty Hours","Húsz óra","Movie",7.6,110,1965,489,"No"
"Q848664","tt0059246","38-1966","India","Guide","Hindi","Vijay Anand","Not nominated","E",NA,"","Guide","Guide","Movie",8.3,183,1965,8642,"No"
"Q7736702","tt0137783","38-1966","Israel","The Glass Cage","French, Hebrew","Philippe Arthuys & Jean-Louis Levi-Alvarès","Not nominated","E",NA,"","La cage de verre","La cage de verre","Movie",NA,85,1965,0,"No"
"Q4738412","tt0058637","38-1966","Mexico","Always Further On","Spanish","Luis Alcoriza","Not nominated","E",NA,"","Tarahumara (Cada vez más lejos)","Tarahumara (Cada vez más lejos)","Movie",7.3,105,1965,117,"No"
"Q6465569","tt0058695","38-1966","Spain","La Tía Tula","La Tía Tula","Miguel Picazo","Not nominated","E",NA,"","Aunt Tula","La tía Tula","Movie",7.4,109,1964,634,"No"
"Q261403","tt0061138","39-1967","France","A Man and a Woman","French","Claude Lelouch","Won Academy Award","A",NA,"","A Man and a Woman","Un homme et une femme","Movie",7.5,102,1966,11999,"No"
"Q1214524","tt0059415","39-1967","Czechoslovakia","Loves of a Blonde","Czech","Miloš Forman","Nominated","B",NA,"","Loves of a Blonde","Lásky jedné plavovlásky","Movie",7.5,88,1965,9467,"No"
"Q784812","tt0058946","39-1967","Italy","The Battle of Algiers","French, Arabic","Gillo Pontecorvo","Nominated","B",9,"2023-07-05","The Battle of Algiers","La battaglia di Algeri","Movie",8.1,121,1967,66204,"Yes"
"Q1310362","tt0060401","39-1967","Poland","Pharaoh","Polish","Jerzy Kawalerowicz","Nominated","B",NA,"","Pharaoh","Faraon","Movie",7.4,180,1966,2319,"No"
"Q614108","tt0059829","39-1967","Yugoslavia","Three","Serbo-Croatian","Aleksandar Petrović","Nominated","B",NA,"","Three","Tri","Movie",7.8,80,1965,992,"No"
"Q1321282","tt0061042","39-1967","Denmark","Hunger","Swedish, Norwegian, Danish","Henning Carlsen","Not nominated","E",NA,"","Hunger","Sult","Movie",7.7,112,1966,3393,"No"
"Q5017745","tt0264344","39-1967","Egypt","Cairo 30","Arabic","Salah Abu Seif","Not nominated","E",NA,"","Cairo 30","Al-Kahira thalatin","Movie",7.8,132,1966,666,"No"
"Q7270585","tt0144854","39-1967","Greece","Queen of Clubs","Greek","Giorgos Skalenakis","Not nominated","E",NA,"","Queen of Clubs","Dama spathi","Movie",6.1,87,1966,99,"No"
"Q1170354","tt0059079","39-1967","Hong Kong","Come Drink with Me","Mandarin, Cantonese","King Hu","Not nominated","E",NA,"","Come Drink with Me","Da zui xia","Movie",6.9,95,1966,4991,"No"
"Q531109","tt0059776","39-1967","Hungary","The Round-Up","Hungarian","Miklós Jancsó","Not nominated","E",NA,"","The Round-Up","Szegénylegények","Movie",7.5,90,1966,3341,"No"
"Q3428854","tt0060104","39-1967","India","Amrapali","Hindi","Lekh Tandon","Not nominated","E",NA,"","Amrapali","Amrapali","Movie",6.7,119,1966,280,"No"
