"ItemTitle","IMDBid","Rating","Rated.Date"
"Garden Party","tt6426140","6","Rated on 30 Dec 2022"
"Sister","tt9032798","6","Rated on 30 Dec 2022"
"The Neighbors' Window","tt8163822","7","Rated on 30 Dec 2022"
"Belle","tt13651628","7","Rated on 30 Dec 2022"
"The Whale","tt13833688","8","Rated on 30 Dec 2022"
"Babylon","tt10640346","7","Rated on 29 Dec 2022"
"A Storm for Christmas","tt15700830","8","Rated on 23 Dec 2022"
"A Christmas to Treasure","tt21072238","2","Rated on 20 Dec 2022"
"Holiday Inn","tt0034862","7","Rated on 20 Dec 2022"
"Brideshead Revisited","tt0412536","6","Rated on 20 Dec 2022"
"Decision to Leave","tt12477480","9","Rated on 19 Dec 2022"
"Dekalog","tt0094984","8","Rated on 19 Dec 2022"
"Dekalog","tt0092337","10","Rated on 19 Dec 2022"
"I, the Jury","tt0045902","6","Rated on 19 Dec 2022"
"Christmas with the Campbells","tt17542540","5","Rated on 18 Dec 2022"
"The Royal Nanny","tt22247450","6","Rated on 17 Dec 2022"
"EO","tt19652910","7","Rated on 17 Dec 2022"
"Hotel for the Holidays","tt21906206","3","Rated on 16 Dec 2022"
"Avatar: The Way of Water","tt1630029","5","Rated on 16 Dec 2022"
"Detour","tt0037638","8","Rated on 15 Dec 2022"
"Dirty Rotten Scoundrels","tt0095031","5","Rated on 15 Dec 2022"
"Empire of Light","tt14402146","8","Rated on 14 Dec 2022"
"Bullitt","tt0062765","7","Rated on 14 Dec 2022"
"A Royal Queens Christmas","tt15829734","4","Rated on 13 Dec 2022"
"White Heat","tt0042041","9","Rated on 12 Dec 2022"
"The Holiday Sitter","tt22296044","5","Rated on 12 Dec 2022"
"Dekalog","tt0094983","10","Rated on 12 Dec 2022"
"Dekalog","tt0094991","7","Rated on 11 Dec 2022"
"Dekalog","tt0094990","8","Rated on 11 Dec 2022"
"Dekalog","tt0094988","8","Rated on 11 Dec 2022"
"White Noise","tt6160448","5","Rated on 10 Dec 2022"
"Spoiler Alert","tt7775720","5","Rated on 10 Dec 2022"
"Sunrise","tt0018455","9","Rated on 08 Dec 2022"
"Dekalog","tt0094989","7","Rated on 08 Dec 2022"
"Dekalog","tt0094986","8","Rated on 08 Dec 2022"
"In a Lonely Place","tt0042593","9","Rated on 08 Dec 2022"
"Dekalog","tt0094987","9","Rated on 08 Dec 2022"
"Dekalog","tt0094985","7","Rated on 06 Dec 2022"
"Disenchanted","tt1596342","4","Rated on 05 Dec 2022"
"The Prestige","tt0482571","7","Rated on 04 Dec 2022"
"Dekalog","tt0094982","9","Rated on 04 Dec 2022"
"Violent Night","tt12003946","4","Rated on 04 Dec 2022"
"A Hollywood Christmas","tt21950514","5","Rated on 03 Dec 2022"
"The Inspection","tt13495458","6","Rated on 03 Dec 2022"
"My Left Foot","tt0097937","6","Rated on 02 Dec 2022"
"Piper","tt5613056","7","Rated on 02 Dec 2022"
"Primal Fear","tt0117381","7","Rated on 02 Dec 2022"
"Marathon Man","tt0074860","8","Rated on 02 Dec 2022"
"Topper","tt0029682","6","Rated on 01 Dec 2022"
"Devotion","tt7693316","5","Rated on 30 Nov 2022"
"Little Women","tt0024264","7","Rated on 29 Nov 2022"
"Real Steel","tt0433035","5","Rated on 29 Nov 2022"
"Excess Baggage","tt0119086","4","Rated on 29 Nov 2022"
"The Train","tt0059825","8","Rated on 29 Nov 2022"
"Thief","tt0083190","7","Rated on 28 Nov 2022"
"Santa Bootcamp","tt21650446","5","Rated on 27 Nov 2022"
"Three Wise Men and a Baby","tt22247482","3","Rated on 27 Nov 2022"
"Well Suited for Christmas","tt22740828","5","Rated on 27 Nov 2022"
"Guillermo del Toro's Pinocchio","tt1488589","8","Rated on 27 Nov 2022"
"She Said","tt14807308","8","Rated on 26 Nov 2022"
"Good Night Oppy","tt14179942","7","Rated on 26 Nov 2022"
"The Noel Diary","tt13007592","6","Rated on 26 Nov 2022"
"Christmas with You","tt15824322","5","Rated on 26 Nov 2022"
"Wednesday","tt13443470","7","Rated on 25 Nov 2022"
"The Fabelmans","tt14208870","8","Rated on 24 Nov 2022"
"Glass Onion: A Knives Out Mystery","tt11564570","6","Rated on 24 Nov 2022"
"Spirited","tt10999120","5","Rated on 23 Nov 2022"
"American Gigolo","tt4257262","6","Rated on 23 Nov 2022"
"This Is Going to Hurt","tt8681148","7","Rated on 23 Nov 2022"
"Sweet Smell of Success","tt0051036","9","Rated on 21 Nov 2022"
"Bardo: False Chronicle of a Handful of Truths","tt14176542","7","Rated on 20 Nov 2022"
"Black Panther: Wakanda Forever","tt9114286","6","Rated on 18 Nov 2022"
"All That Breathes","tt16377862","8","Rated on 18 Nov 2022"
"The Menu","tt9764362","7","Rated on 17 Nov 2022"
"Falling for Christmas","tt14715170","5","Rated on 16 Nov 2022"
"Yojimbo","tt0055630","9","Rated on 14 Nov 2022"
"Cinema Paradiso","tt0095765","10","Rated on 14 Nov 2022"
"Why Didn't They Ask Evans?","tt14829590","5","Rated on 13 Nov 2022"
"Double Indemnity","tt0036775","9","Rated on 13 Nov 2022"
"My Policeman","tt13139228","5","Rated on 10 Nov 2022"
"Weird: The Al Yankovic Story","tt17076046","5","Rated on 09 Nov 2022"
"A Shoe Addict's Christmas","tt8634202","6","Rated on 08 Nov 2022"
"Two Days, One Night","tt2737050","7","Rated on 07 Nov 2022"
"Reboot","tt15180134","7","Rated on 06 Nov 2022"
"So Help Me Todd","tt18573724","6","Rated on 06 Nov 2022"
"All Quiet on the Western Front","tt0020629","8","Rated on 06 Nov 2022"
"The Postman","tt0110877","10","Rated on 06 Nov 2022"
"Cinderella","tt0128996","7","Rated on 06 Nov 2022"
"Till","tt4960748","7","Rated on 06 Nov 2022"
"Call Jane","tt7461272","6","Rated on 05 Nov 2022"
"Enola Holmes 2","tt14641788","5","Rated on 05 Nov 2022"
"The Banshees of Inisherin","tt11813216","9","Rated on 05 Nov 2022"
"Armageddon Time","tt10343028","6","Rated on 04 Nov 2022"
"Catering Christmas","tt19264600","5","Rated on 02 Nov 2022"
"The Dark Past","tt0040270","6","Rated on 01 Nov 2022"
"The Great Beauty","tt2358891","8","Rated on 01 Nov 2022"
"The Bad and the Beautiful","tt0044391","7","Rated on 31 Oct 2022"
"The Faculty","tt0133751","4","Rated on 29 Oct 2022"
"Ticket to Paradise","tt14109724","5","Rated on 28 Oct 2022"
"Tár","tt14444726","10","Rated on 28 Oct 2022"
"The Sniper","tt0045161","7","Rated on 27 Oct 2022"
"Vicky Cristina Barcelona","tt0497465","7","Rated on 26 Oct 2022"
"Drums Along the Mohawk","tt0031252","5","Rated on 26 Oct 2022"
"Guys and Dolls","tt0048140","7","Rated on 25 Oct 2022"
"The Accused","tt0040071","6","Rated on 25 Oct 2022"
"Brute Force","tt0039224","8","Rated on 25 Oct 2022"
"Lured","tt0039589","5","Rated on 25 Oct 2022"
"Nick Kroll: Little Big Boy","tt21870580","5","Rated on 24 Oct 2022"
"Born to Kill","tt0039211","8","Rated on 24 Oct 2022"
"Body and Soul","tt0039204","7","Rated on 24 Oct 2022"
"The Unfaithful","tt0039937","7","Rated on 23 Oct 2022"
"Possessed","tt0039725","8","Rated on 23 Oct 2022"
"The Unsuspected","tt0039941","7","Rated on 23 Oct 2022"
"The Prowler","tt0043938","6","Rated on 23 Oct 2022"
"The Red House","tt0039757","5","Rated on 22 Oct 2022"
"On Dangerous Ground","tt0043879","7","Rated on 22 Oct 2022"
"Secret Beyond the Door...","tt0040766","6","Rated on 22 Oct 2022"
"Odds Against Tomorrow","tt0053133","9","Rated on 22 Oct 2022"
"They Won't Believe Me","tt0039896","7","Rated on 22 Oct 2022"
"Argentina, 1985","tt15301048","10","Rated on 21 Oct 2022"
"Out of the Past","tt0039689","8","Rated on 20 Oct 2022"
"The Lady from Shanghai","tt0040525","6","Rated on 20 Oct 2022"
"Desperate","tt0039313","5","Rated on 18 Oct 2022"
"All the King's Men","tt0041113","9","Rated on 18 Oct 2022"
"Nightmare Alley","tt0039661","8","Rated on 18 Oct 2022"
"Detective Story","tt0043465","10","Rated on 17 Oct 2022"
"T-Men","tt0039881","6","Rated on 17 Oct 2022"
"A Place in the Sun","tt0043924","9","Rated on 16 Oct 2022"
"The Dark Corner","tt0038453","7","Rated on 16 Oct 2022"
"Railroaded!","tt0039748","6","Rated on 16 Oct 2022"
"The Argyle Secrets","tt0040112","3","Rated on 16 Oct 2022"
"Storm Warning","tt0044075","8","Rated on 15 Oct 2022"
"Open Secret","tt0040671","5","Rated on 15 Oct 2022"
"Crossfire","tt0039286","7","Rated on 15 Oct 2022"
"Wonder Man","tt0038260","5","Rated on 12 Oct 2022"
"Jackass Presents: Bad Grandpa","tt3063516","4","Rated on 12 Oct 2022"
"In Bruges","tt0780536","5","Rated on 12 Oct 2022"
"Resident Alien","tt8690918","7","Rated on 12 Oct 2022"
"Love & Basketball","tt0199725","7","Rated on 11 Oct 2022"
"Ball of Fire","tt0033373","8","Rated on 11 Oct 2022"
"Z","tt0065234","7","Rated on 11 Oct 2022"
"Faces Places","tt5598102","7","Rated on 06 Oct 2022"
"Meet Cute","tt14900738","4","Rated on 04 Oct 2022"
"National Theatre Live: Straight Line Crazy","tt22033936","9","Rated on 03 Oct 2022"
"Hocus Pocus 2","tt11909878","5","Rated on 03 Oct 2022"
"The Good House","tt3104956","6","Rated on 01 Oct 2022"
"Butterflies Are Free","tt0068326","7","Rated on 30 Sep 2022"
"Bros","tt9731598","6","Rated on 30 Sep 2022"
"Blonde","tt1655389","3","Rated on 29 Sep 2022"
"Deep Red","tt0073582","7","Rated on 28 Sep 2022"
"Babes in Arms","tt0031066","3","Rated on 28 Sep 2022"
"Of Human Bondage","tt0025586","7","Rated on 27 Sep 2022"
"The Greatest Beer Run Ever","tt10268488","4","Rated on 27 Sep 2022"
"Love Story","tt0066011","7","Rated on 26 Sep 2022"
"Don't Worry Darling","tt10731256","5","Rated on 23 Sep 2022"
"Good Behavior","tt4855114","7","Rated on 22 Sep 2022"
"Pearl","tt18925334","7","Rated on 22 Sep 2022"
"Moonage Daydream","tt9883832","7","Rated on 21 Sep 2022"
"See How They Run","tt13640696","5","Rated on 20 Sep 2022"
"Legends of the Fall","tt0110322","5","Rated on 18 Sep 2022"
"Blow-Up","tt0060176","8","Rated on 18 Sep 2022"
"Confess, Fletch","tt12718300","3","Rated on 17 Sep 2022"
"Infernal Affairs","tt0338564","7","Rated on 17 Sep 2022"
"Life Is Beautiful","tt0118799","8","Rated on 16 Sep 2022"
"Allied","tt3640424","6","Rated on 16 Sep 2022"
"Carnal Knowledge","tt0066892","6","Rated on 13 Sep 2022"
"The Wrong Man","tt0051207","7","Rated on 11 Sep 2022"
"Barbarian","tt15791034","6","Rated on 11 Sep 2022"
"Three Thousand Years of Longing","tt9198364","4","Rated on 11 Sep 2022"
"The Offer","tt13111040","8","Rated on 10 Sep 2022"
"Heaven Can Wait","tt0077663","6","Rated on 08 Sep 2022"
"Eraser","tt0116213","5","Rated on 05 Sep 2022"
"Collateral","tt0369339","6","Rated on 05 Sep 2022"
"Everything Sucks!","tt7078710","6","Rated on 05 Sep 2022"
"Star Trek V: The Final Frontier","tt0098382","4","Rated on 04 Sep 2022"
"Star Trek IV: The Voyage Home","tt0092007","7","Rated on 04 Sep 2022"
"Yellowjackets","tt11041332","9","Rated on 04 Sep 2022"
"Seven Samurai","tt0047478","8","Rated on 04 Sep 2022"
"Love in the Villa","tt15463032","2","Rated on 03 Sep 2022"
"Heroic Trio 2: Executioners","tt0108606","3","Rated on 03 Sep 2022"
"The Heroic Trio","tt0105619","5","Rated on 03 Sep 2022"
"The Pointer","tt0031803","6","Rated on 02 Sep 2022"
"The Disaster Artist","tt3521126","7","Rated on 01 Sep 2022"
"Lou","tt6267732","7","Rated on 01 Sep 2022"
"The Boss Baby","tt3874544","6","Rated on 01 Sep 2022"
"War for the Planet of the Apes","tt3450958","5","Rated on 01 Sep 2022"
"The Sandman","tt1751634","5","Rated on 31 Aug 2022"
"God Is the Bigger Elvis","tt2210633","7","Rated on 29 Aug 2022"
"The Lost Record","tt15724240","6","Rated on 27 Aug 2022"
"The Richest Girl in the World","tt0025718","4","Rated on 26 Aug 2022"
"Hair Love","tt7129636","8","Rated on 26 Aug 2022"
"Gregory's Girl","tt0082477","8","Rated on 25 Aug 2022"
"Dead End","tt0028773","6","Rated on 25 Aug 2022"
"The Life and Death of Colonel Blimp","tt0036112","9","Rated on 24 Aug 2022"
"Dog Day Afternoon","tt0072890","7","Rated on 24 Aug 2022"
"American Gangster","tt0765429","8","Rated on 23 Aug 2022"
"A Better Life","tt1554091","7","Rated on 23 Aug 2022"
"Cape Fear","tt0101540","6","Rated on 23 Aug 2022"
"The Mortal Storm","tt0032811","7","Rated on 22 Aug 2022"
"Autumn Sonata","tt0077711","8","Rated on 22 Aug 2022"
"Being There","tt0078841","9","Rated on 22 Aug 2022"
"Do the Right Thing","tt0097216","10","Rated on 22 Aug 2022"
"Exit Through the Gift Shop","tt1587707","7","Rated on 22 Aug 2022"
"Kitbull","tt9536832","9","Rated on 22 Aug 2022"
"The Big Lebowski","tt0118715","6","Rated on 22 Aug 2022"
"My Favorite Year","tt0084370","5","Rated on 21 Aug 2022"
"The Big Sick","tt5462602","9","Rated on 21 Aug 2022"
"Wait Until Dark","tt0062467","7","Rated on 21 Aug 2022"
"Four Weddings and a Funeral","tt0109831","6","Rated on 20 Aug 2022"
"A Brief History of Time","tt0103882","6","Rated on 20 Aug 2022"
"Warrior","tt1291584","7","Rated on 20 Aug 2022"
"Breaking Away","tt0078902","8","Rated on 20 Aug 2022"
"The Boys from Brazil","tt0077269","7","Rated on 19 Aug 2022"
"Living in Oblivion","tt0113677","5","Rated on 19 Aug 2022"
"Mudbound","tt2396589","6","Rated on 19 Aug 2022"
"Night Moves","tt0073453","8","Rated on 18 Aug 2022"
"Cold War","tt6543652","7","Rated on 18 Aug 2022"
"Awakenings","tt0099077","6","Rated on 18 Aug 2022"
"Atlantis","tt10749786","5","Rated on 17 Aug 2022"
"The Front Page","tt0021890","6","Rated on 16 Aug 2022"
"Gaslight","tt0036855","9","Rated on 16 Aug 2022"
"Opening Night","tt0079672","7","Rated on 15 Aug 2022"
"Splendor in the Grass","tt0055471","9","Rated on 15 Aug 2022"
"Bodies Bodies Bodies","tt8110652","3","Rated on 13 Aug 2022"
"Emily the Criminal","tt15255876","7","Rated on 13 Aug 2022"
"Easy Living","tt0028816","8","Rated on 12 Aug 2022"
"Anna Christie","tt0020641","6","Rated on 10 Aug 2022"
"The Full Monty","tt0119164","7","Rated on 10 Aug 2022"
"Divorce American Style","tt0061581","5","Rated on 09 Aug 2022"
"Burnt by the Sun","tt0111579","8","Rated on 09 Aug 2022"
"Period of Adjustment","tt0056341","8","Rated on 08 Aug 2022"
"Pygmalion","tt0030637","9","Rated on 08 Aug 2022"
"The Object of My Affection","tt0120772","7","Rated on 08 Aug 2022"
"The Old Man","tt5645432","6","Rated on 07 Aug 2022"
"Physical","tt11828492","8","Rated on 07 Aug 2022"
"Bullet Train","tt12593682","5","Rated on 07 Aug 2022"
"On the Waterfront","tt0047296","9","Rated on 06 Aug 2022"
"Killer's Kiss","tt0048254","5","Rated on 06 Aug 2022"
"What's Up, Doc?","tt0069495","6","Rated on 06 Aug 2022"
"The Awful Truth","tt0028597","7","Rated on 05 Aug 2022"
"Lost Boundaries","tt0041600","7","Rated on 04 Aug 2022"
"Throne of Blood","tt0050613","8","Rated on 04 Aug 2022"
"The Last Waltz","tt0077838","8","Rated on 03 Aug 2022"
"Doctor Dolittle","tt0061584","5","Rated on 31 Jul 2022"
"Lovers and Other Strangers","tt0066016","5","Rated on 30 Jul 2022"
"My Old School","tt8595016","8","Rated on 30 Jul 2022"
"When Marnie Was There","tt3398268","6","Rated on 30 Jul 2022"
"Rashomon","tt0042876","7","Rated on 30 Jul 2022"
"Vengeance","tt11976532","6","Rated on 29 Jul 2022"
"The House on 92nd Street","tt0037795","8","Rated on 28 Jul 2022"
"Mrs. Harris Goes to Paris","tt5151570","7","Rated on 26 Jul 2022"
"Stray Dog","tt0041699","9","Rated on 25 Jul 2022"
"Drunken Angel","tt0040979","8","Rated on 25 Jul 2022"
"Kiss of Death","tt0039536","8","Rated on 24 Jul 2022"
"The Fighter","tt0964517","8","Rated on 24 Jul 2022"
"Morocco","tt0021156","7","Rated on 24 Jul 2022"
"The Private Life of Henry VIII","tt0024473","6","Rated on 24 Jul 2022"
"Bachelor Mother","tt0031067","8","Rated on 23 Jul 2022"
"The Americanization of Emily","tt0057840","7","Rated on 23 Jul 2022"
"The Gray Man","tt1649418","5","Rated on 23 Jul 2022"
"Loot","tt14271498","5","Rated on 22 Jul 2022"
"Under the Volcano","tt0088322","8","Rated on 22 Jul 2022"
"Boomerang!","tt0039208","7","Rated on 22 Jul 2022"
"Nope","tt10954984","7","Rated on 21 Jul 2022"
"Affliction","tt0118564","6","Rated on 20 Jul 2022"
"Portrait of Jennie","tt0040705","5","Rated on 20 Jul 2022"
"Cowboy Bebop: The Movie","tt0275277","8","Rated on 18 Jul 2022"
"It Happened One Night","tt0025316","8","Rated on 18 Jul 2022"
"The Cooler","tt0318374","5","Rated on 17 Jul 2022"
"Marcel the Shell with Shoes On","tt15339456","7","Rated on 17 Jul 2022"
"Twentieth Century","tt0025919","6","Rated on 16 Jul 2022"
"Scandal","tt0042958","7","Rated on 16 Jul 2022"
"The Quiet Duel","tt0041870","6","Rated on 16 Jul 2022"
"Symphonie pour un massacre","tt0057549","5","Rated on 14 Jul 2022"
"Life Overtakes Me","tt9204606","6","Rated on 13 Jul 2022"
"Odd Man Out","tt0039677","9","Rated on 11 Jul 2022"
"Goodbye, Mr. Chips","tt0064382","5","Rated on 11 Jul 2022"
"Goodbye, Mr. Chips","tt0031385","7","Rated on 10 Jul 2022"
"The Last Emperor","tt0093389","6","Rated on 10 Jul 2022"
"The Fugitive","tt0106977","7","Rated on 10 Jul 2022"
"The Black Phone","tt7144666","7","Rated on 09 Jul 2022"
"The 400 Blows","tt0053198","9","Rated on 09 Jul 2022"
"Divorce Italian Style","tt0055913","9","Rated on 09 Jul 2022"
"Thor: Love and Thunder","tt10648342","6","Rated on 08 Jul 2022"
"The Defiant Ones","tt0051525","9","Rated on 07 Jul 2022"
"Lost Illusions","tt10505316","6","Rated on 07 Jul 2022"
"Pieces of a Woman","tt11161474","7","Rated on 06 Jul 2022"
"10","tt0078721","4","Rated on 04 Jul 2022"
"The Letter","tt0032701","6","Rated on 04 Jul 2022"
"The Opposite of Sex","tt0120777","6","Rated on 04 Jul 2022"
"La dolce vita","tt0053779","8","Rated on 03 Jul 2022"
"The Ladykillers","tt0048281","6","Rated on 02 Jul 2022"
"Nocturnal Animals","tt4550098","6","Rated on 02 Jul 2022"
"The Strange One","tt0051019","8","Rated on 02 Jul 2022"
"Hedwig and the Angry Inch","tt0248845","6","Rated on 01 Jul 2022"
"Jackie","tt1619029","5","Rated on 30 Jun 2022"
"Official Competition","tt11700260","6","Rated on 30 Jun 2022"
"Howl's Moving Castle","tt0347149","6","Rated on 30 Jun 2022"
"Cha Cha Real Smooth","tt14376344","7","Rated on 28 Jun 2022"
"The Fifth Element","tt0119116","9","Rated on 27 Jun 2022"
"Nights of Cabiria","tt0050783","8","Rated on 26 Jun 2022"
"Midnight Cowboy","tt0064665","8","Rated on 26 Jun 2022"
"Elvis","tt3704428","6","Rated on 24 Jun 2022"
"Freedom Uncut","tt7155286","8","Rated on 23 Jun 2022"
"Arrebato","tt0078797","6","Rated on 21 Jun 2022"
"My Fake Boyfriend","tt15143222","3","Rated on 20 Jun 2022"
"Captain Fantastic","tt3553976","6","Rated on 20 Jun 2022"
"Molly's Game","tt4209788","7","Rated on 19 Jun 2022"
"Extremely Loud & Incredibly Close","tt0477302","5","Rated on 18 Jun 2022"
"War Horse","tt1568911","7","Rated on 18 Jun 2022"
"Shine","tt0117631","6","Rated on 17 Jun 2022"
"Secrets & Lies","tt0117589","9","Rated on 17 Jun 2022"
"Ninotchka","tt0031725","6","Rated on 16 Jun 2022"
"Three Colors: Red","tt0111495","9","Rated on 16 Jun 2022"
"Lightyear","tt10298810","5","Rated on 15 Jun 2022"
"Disraeli","tt0019823","5","Rated on 15 Jun 2022"
"Roma","tt6155172","9","Rated on 14 Jun 2022"
"The White Tiger","tt6571548","6","Rated on 11 Jun 2022"
"One Night in Miami...","tt10612922","7","Rated on 10 Jun 2022"
"First Reformed","tt6053438","6","Rated on 09 Jun 2022"
"Mr. Klein","tt0074916","10","Rated on 09 Jun 2022"
"Elle","tt3716530","8","Rated on 08 Jun 2022"
"Sleuth","tt0069281","6","Rated on 07 Jun 2022"
"The Ruling Class","tt0069198","4","Rated on 05 Jun 2022"
"Ship of Fools","tt0059712","7","Rated on 05 Jun 2022"
"Trouble Indemnity","tt0043073","6","Rated on 05 Jun 2022"
"Three Orphan Kittens","tt0027100","5","Rated on 05 Jun 2022"
"The Pink Phink","tt0058472","7","Rated on 05 Jun 2022"
"The Little Orphan","tt0041592","7","Rated on 05 Jun 2022"
"La Luna","tt1957945","7","Rated on 05 Jun 2022"
"SparkShorts","tt13167288","6","Rated on 05 Jun 2022"
"Florence Foster Jenkins","tt4136084","6","Rated on 05 Jun 2022"
"Fire Island","tt15218000","5","Rated on 05 Jun 2022"
"Crimes of the Future","tt14549466","8","Rated on 04 Jun 2022"
"L'Argent","tt0085180","5","Rated on 03 Jun 2022"
"W.E.","tt1536048","5","Rated on 03 Jun 2022"
"The Wife","tt3750872","8","Rated on 03 Jun 2022"
"Pride","tt3169706","7","Rated on 03 Jun 2022"
"RRR","tt8178634","8","Rated on 02 Jun 2022"
"Green Book","tt6966692","8","Rated on 01 Jun 2022"
"High and Low","tt0057565","9","Rated on 01 Jun 2022"
"Shoot the Piano Player","tt0054389","8","Rated on 01 Jun 2022"
"The Crying Game","tt0104036","7","Rated on 01 Jun 2022"
"Freaky Friday","tt0076054","5","Rated on 31 May 2022"
"The Lovely Bones","tt0380510","6","Rated on 31 May 2022"
"Coco Before Chanel","tt1035736","5","Rated on 31 May 2022"
"Breakfast on Pluto","tt0411195","6","Rated on 31 May 2022"
"Identity","tt0309698","5","Rated on 31 May 2022"
"Escape from Alcatraz","tt0079116","7","Rated on 31 May 2022"
"The Others","tt0230600","7","Rated on 31 May 2022"
"Borat Subsequent Moviefilm","tt13143964","6","Rated on 31 May 2022"
"Borat","tt0443453","6","Rated on 31 May 2022"
"Welcome to the Dollhouse","tt0114906","8","Rated on 31 May 2022"
"Wonder Boys","tt0185014","5","Rated on 30 May 2022"
"White Fang","tt0103247","6","Rated on 30 May 2022"
"Rules of Engagement","tt0160797","6","Rated on 30 May 2022"
"Wimbledon","tt0360201","5","Rated on 30 May 2022"
"My Big Fat Greek Wedding 2","tt3760922","6","Rated on 30 May 2022"
"The Other Woman","tt2203939","5","Rated on 30 May 2022"
"G.I. Jane","tt0119173","6","Rated on 30 May 2022"
"Glory Road","tt0385726","6","Rated on 30 May 2022"
"Speak","tt0378793","6","Rated on 30 May 2022"
"The Man in the Moon","tt0102388","6","Rated on 30 May 2022"
"The Greatest Game Ever Played","tt0388980","7","Rated on 30 May 2022"
"Raising Helen","tt0350028","5","Rated on 30 May 2022"
"Uptown Girls","tt0263757","5","Rated on 30 May 2022"
"The Sisterhood of the Traveling Pants 2","tt1018785","5","Rated on 30 May 2022"
"Fever Pitch","tt0332047","5","Rated on 30 May 2022"
"Mrs. Winterbourne","tt0117104","5","Rated on 30 May 2022"
"Save the Last Dance","tt0206275","6","Rated on 30 May 2022"
"The Interpreter","tt0373926","5","Rated on 30 May 2022"
"Crazy/Beautiful","tt0250224","6","Rated on 30 May 2022"
"Unfaithful","tt0250797","5","Rated on 30 May 2022"
"While You Were Sleeping","tt0114924","5","Rated on 30 May 2022"
"The Importance of Being Earnest","tt0278500","6","Rated on 30 May 2022"
"School Ties","tt0105327","5","Rated on 30 May 2022"
"Becoming Jane","tt0416508","6","Rated on 30 May 2022"
"Miss Potter","tt0482546","6","Rated on 30 May 2022"
"Men of Honor","tt0203019","7","Rated on 30 May 2022"
"Frequency","tt0186151","6","Rated on 30 May 2022"
"Les Misérables","tt0119683","6","Rated on 30 May 2022"
"Divine Secrets of the Ya-Ya Sisterhood","tt0279778","6","Rated on 30 May 2022"
"Three Men and a Baby","tt0094137","5","Rated on 30 May 2022"
"Shall We Dance","tt0358135","6","Rated on 30 May 2022"
"Anywhere But Here","tt0149691","6","Rated on 30 May 2022"
"Message in a Bottle","tt0139462","6","Rated on 30 May 2022"
"Keeping the Faith","tt0171433","5","Rated on 30 May 2022"
"Phenomenon","tt0117333","5","Rated on 30 May 2022"
"Riding in Cars with Boys","tt0200027","6","Rated on 30 May 2022"
"Soapdish","tt0102951","6","Rated on 30 May 2022"
"Backdraft","tt0101393","6","Rated on 30 May 2022"
"A Prairie Home Companion","tt0420087","6","Rated on 30 May 2022"
"Where the Heart Is","tt0198021","6","Rated on 30 May 2022"
"Runaway Jury","tt0313542","5","Rated on 30 May 2022"
"Baby Boom","tt0092605","5","Rated on 30 May 2022"
"For the Boys","tt0101902","6","Rated on 30 May 2022"
"Young Adult","tt1625346","5","Rated on 30 May 2022"
"Bandits","tt0219965","6","Rated on 30 May 2022"
"Conspiracy Theory","tt0118883","6","Rated on 30 May 2022"
