"AwardCeremony","FilmID","FilmName","Your.Rating","IMDb.Rating","Num.Votes","Nominations","Losses","Wins"
"09-1937","tt0028355","Theodora Goes Wild",NA,7.1,2878,2,2,0
"09-1937","tt0028356","These Three",NA,7.4,2971,1,1,0
"09-1937","tt0028373","Three Smart Girls",NA,6.6,1501,3,3,0
"09-1937","tt0028401","The Trail of the Lonesome Pine",NA,6.8,1342,1,1,0
"09-1937","tt0028455","Valiant Is the Word for Carrie",NA,6.3,229,1,1,0
"09-1937","tt0028480","Wanted -- A Master",NA,6.8,134,1,1,0
"09-1937","tt0028511","Winterset",NA,6.1,485,2,2,0
"09-1937","tt0342147","Double or Nothing",NA,6.1,59,1,1,0
"10-1938","tt0027367","Black Legion",NA,6.9,3836,1,1,0
"10-1938","tt0028566","Ali Baba Goes to Town",NA,6.4,602,1,1,0
"10-1938","tt0028587","Artist and Models",NA,6,362,1,1,0
"10-1938","tt0028597","The Awful Truth",7,7.7,21017,6,5,1
"10-1938","tt0028683","Camille",NA,7.3,8601,1,1,0
"10-1938","tt0028691","Captains Courageous",NA,7.9,10678,4,3,1
"10-1938","tt0028739","Conquest",NA,6.5,1655,2,2,0
"10-1938","tt0028757","A Damsel in Distress",NA,6.8,2342,2,1,1
"10-1938","tt0028772","A Day at the Races",NA,7.5,14390,1,1,0
"10-1938","tt0028773","Dead End",6,7.2,8404,4,4,0
"10-1938","tt0028777","Deep South",NA,NA,NA,1,1,0
"10-1938","tt0028819","Educated Fish",6,6,296,1,1,0
"10-1938","tt0028843","Every Day's a Holiday",NA,6.2,469,1,1,0
"10-1938","tt0028931","The Girl Said No",NA,5.8,120,1,1,0
"10-1938","tt0028944","The Good Earth",NA,7.5,5330,5,3,2
"10-1938","tt0029006","Hitting a New High",NA,4.9,337,1,1,0
"10-1938","tt0029030","The Hurricane",NA,7.2,2939,3,2,1
"10-1938","tt0029047","In Old Chicago",NA,6.7,2593,6,4,2
"10-1938","tt0029146","The Life of Emile Zola",NA,7.2,8851,10,7,3
"10-1938","tt0029151","The Little Match Girl",9,7,400,1,1,0
"10-1938","tt0029162","Lost Horizon",NA,7.6,14220,7,5,2
"10-1938","tt0029193","Make a Wish",NA,5.4,206,1,1,0
"10-1938","tt0029204","The Man Without a Country",NA,5.7,186,1,1,0
"10-1938","tt0029209","Manhattan Merry-Go-Round",NA,5.5,176,1,1,0
"10-1938","tt0029222","Maytime",NA,7.3,1170,2,2,0
"10-1938","tt0029267","Mr. Dodd Takes the Air",NA,5.4,228,1,1,0
"10-1938","tt0029310","Night Must Fall",NA,7.2,2840,2,2,0
"10-1938","tt0029311","A Night at the Movies",NA,6.2,467,1,1,0
"10-1938","tt0029339","The Old Mill",9,7.8,4746,1,0,1
"10-1938","tt0029347","One Hundred Men and a Girl",NA,6.7,1189,5,4,1
"10-1938","tt0029385","Penny Wisdom",NA,6.1,311,1,0,1
"10-1938","tt0029416","Popular Science",NA,5.4,26,1,1,0
"10-1938","tt0029433","Portia on Trial",NA,5.8,80,1,1,0
"10-1938","tt0029442","The Prisoner of Zenda",NA,7.6,4971,2,2,0
"10-1938","tt0029443","The Private Life of the Gannets",NA,6,103,1,0,1
"10-1938","tt0029454","Quality Street",NA,6.2,1300,1,1,0
"10-1938","tt0029467","Ready, Willing and Able",NA,5.8,315,1,1,0
"10-1938","tt0029497","Romance of Radium",NA,6.2,261,1,1,0
"10-1938","tt0029546","Shall We Dance",NA,7.5,7782,1,1,0
"10-1938","tt0029555","Should Wives Work?",NA,5.6,42,1,1,0
"10-1938","tt0029583","Snow White and the Seven Dwarfs",7,7.6,212365,1,1,0
"10-1938","tt0029588","Something to Sing About",NA,6.2,988,1,1,0
"10-1938","tt0029593","Souls at Sea",NA,6.8,835,3,3,0
"10-1938","tt0029604","Stage Door",NA,7.7,8913,4,4,0
"10-1938","tt0029606","A Star Is Born",7,7.3,10613,7,6,1
"10-1938","tt0029608","Stella Dallas",NA,7.4,6136,2,2,0
"10-1938","tt0029659","Thin Ice",NA,6.3,431,1,1,0
"10-1938","tt0029682","Topper",6,7.2,8184,2,2,0
"10-1938","tt0029684","Torture Money",NA,6,202,1,0,1
"10-1938","tt0029725","Varsity Show",NA,6.1,499,1,1,0
"10-1938","tt0029737","Vogues of 1938",NA,5.9,315,2,2,0
"10-1938","tt0029742","Waikiki Wedding",NA,5.9,388,2,1,1
"10-1938","tt0029747","Way Out West",NA,7.6,8877,1,1,0
"10-1938","tt0029751","Wee Willie Winkie",NA,6.9,1909,1,1,0
"10-1938","tt0029752","Wells Fargo",NA,6.4,624,1,1,0
"10-1938","tt0029784","Wings Over Honolulu",NA,5.3,103,1,1,0
"10-1938","tt0029809","You're a Sweetheart",NA,5.3,136,1,1,0
"11-1939","tt0028950","The Grand Illusion",NA,8.1,38450,1,1,0
"11-1939","tt0029843","The Adventures of Robin Hood",NA,7.9,53780,4,1,3
"11-1939","tt0029844","The Adventures of Tom Sawyer",NA,7.1,2190,1,1,0
"11-1939","tt0029852","Alexander's Ragtime Band",NA,6.8,2283,6,5,1
"11-1939","tt0029855","Algiers",5,6.7,3122,4,4,0
"11-1939","tt0029870","Angels with Dirty Faces",8,7.9,22913,3,3,0
"11-1939","tt0029880","Army Girl",NA,5.6,108,3,3,0
"11-1939","tt0029912","The Big Broadcast of 1938",NA,6.1,1070,1,0,1
"11-1939","tt0029923","Block-Heads",NA,7.5,4432,1,1,0
"11-1939","tt0029924","Blockade",NA,5.6,621,2,2,0
"11-1939","tt0029942","Boys Town",7,7.2,6228,5,3,2
"11-1939","tt0029943","Brave Little Tailor",8,7.5,3260,1,1,0
"11-1939","tt0029945","Breaking the Ice",NA,5.1,156,1,1,0
"11-1939","tt0029950","The Buccaneer",NA,6.6,763,1,1,0
"11-1939","tt0029971","Carefree",NA,7,4247,3,3,0
"11-1939","tt0029995","The Citadel",NA,7,2336,4,4,0
"11-1939","tt0030018","The Cowboy and the Lady",4,6.5,1776,3,2,1
"11-1939","tt0030046","The Declaration of Independence",NA,5.9,292,1,0,1
"11-1939","tt0030128","Ferdinand the Bull",7,7.1,3537,1,0,1
"11-1939","tt0030149","Four Daughters",NA,6.9,2151,5,5,0
"11-1939","tt0030184","Girls' School",NA,5.9,226,1,1,0
"11-1939","tt0030190","Going Places",NA,5.9,425,1,1,0
"11-1939","tt0030194","The Goldwyn Follies",NA,5.3,513,2,2,0
"11-1939","tt0030196","Good Scouts",5,6.8,1067,1,1,0
"11-1939","tt0030201","The Great Heart",NA,6.1,173,1,1,0
"11-1939","tt0030202","The Great Waltz",NA,6.5,1287,3,2,1
"11-1939","tt0030241","Holiday",NA,7.7,17762,1,1,0
"11-1939","tt0030250","Hunky and Spunky",NA,5.6,304,1,1,0
"11-1939","tt0030265","If I Were King",NA,7.1,992,4,4,0
"11-1939","tt0030287","Jezebel",8,7.4,14746,5,3,2
"11-1939","tt0030317","Kentucky",NA,6.3,660,1,0,1
"11-1939","tt0030340","The Lady Objects",NA,5.4,150,1,1,0
"11-1939","tt0030395","Mad About Music",NA,7.1,651,4,4,0
"11-1939","tt0030413","Mannequin",NA,6.6,1471,1,1,0
"11-1939","tt0030418","Marie Antoinette",NA,7.3,3234,4,4,0
"11-1939","tt0030442","Merrily We Live",NA,7.3,2161,5,5,0
"11-1939","tt0030465","Mother Goose Goes Hollywood",3,6.3,619,1,1,0
"11-1939","tt0030517","Of Human Hearts",NA,6.8,1333,1,1,0
"11-1939","tt0030637","Pygmalion",9,7.7,9436,4,3,1
"11-1939","tt0030798","Storm Over Bengal",NA,5.2,110,1,1,0
"11-1939","tt0030811","Suez",NA,6.6,894,3,3,0
"11-1939","tt0030817","Sweethearts",NA,6.2,693,2,2,0
"11-1939","tt0030823","Swingtime in the Movies",NA,5.7,357,1,1,0
"11-1939","tt0030848","Test Pilot",NA,6.8,2641,3,3,0
